Unnamed: 0,Name,Platform_norm,Year,developer,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Generation,Console_Type,Company,Name_clean,Name_Unificado,Group_Key
0,'98 Koshien,PlayStation,1998,Magical Company,0.4,0.15,0.1,0.12,0.03,5th Gen,Home Console,Sony,'98 Koshien,'98 Koshien,'98 koshien
1,.hack//G.U. Last Recode,PlayStation 4,2017,CyberConnect2,0.25,0.1,0.04,0.08,0.03,8th Gen,Home Console,Sony,.hack//G.U. Last Recode,.hack//G.U. Last Recode,.hack//g.u. last recode
2,.hack//G.U. Vol.1//Rebirth,PlayStation 2,2006,CyberConnect2,0.17,0.0,0.0,0.17,0.0,6th Gen,Home Console,Sony,.hack//G.U. Vol.1//Rebirth,.hack//G.U. Vol.1//Rebirth,.hack//g.u. vol.1//rebirth
3,.hack//G.U. Vol.2//Reminisce,PlayStation 2,2007,CyberConnect2,0.23,0.11,0.09,0.0,0.03,6th Gen,Home Console,Sony,.hack//G.U. Vol.2//Reminisce,.hack//G.U. Vol.2//Reminisce,.hack//g.u. vol.2//reminisce
4,.hack//G.U. Vol.2//Reminisce (jp sales),PlayStation 2,2007,CyberConnect2,0.16,0.0,0.0,0.16,0.0,6th Gen,Home Console,Sony,.hack//G.U. Vol.2//Reminisce,.hack//G.U. Vol.2//Reminisce,.hack//g.u. vol.2//reminisce
5,.hack//G.U. Vol.3//Redemption,PlayStation 2,2007,CyberConnect2,0.17,0.0,0.0,0.17,0.0,6th Gen,Home Console,Sony,.hack//G.U. Vol.3//Redemption,.hack//G.U. Vol.3//Redemption,.hack//g.u. vol.3//redemption
6,.hack//Infection Part 1,PlayStation 2,2003,CyberConnect2,1.26,0.49,0.38,0.26,0.13,6th Gen,Home Console,Sony,.hack//Infection Part 1,.hack//Infection Part 1,.hack//infection part 1
7,.hack//Link,PlayStation Portable,2010,CyberConnect2,0.14,0.0,0.0,0.14,0.0,6th Gen,Handheld,Sony,.hack//Link,.hack//Link,.hack//link
8,.hack//Mutation Part 2,PlayStation 2,2003,CyberConnect2,0.67,0.23,0.18,0.2,0.06,6th Gen,Home Console,Sony,.hack//Mutation Part 2,.hack//Mutation Part 2,.hack//mutation part 2
9,.hack//Outbreak Part 3,PlayStation 2,2003,CyberConnect2,0.46,0.14,0.11,0.17,0.04,6th Gen,Home Console,Sony,.hack//Outbreak Part 3,.hack//Outbreak Part 3,.hack//outbreak part 3
10,.hack//Quarantine Part 4: The Final Chapter,PlayStation 2,2004,CyberConnect2,0.18,0.09,0.07,0.0,0.02,6th Gen,Home Console,Sony,.hack//Quarantine Part 4: The Final Chapter,.hack//Quarantine Part 4: The Final Chapter,.hack//quarantine part 4: the final chapter
11,.hack: Sekai no Mukou ni + Versus,PlayStation 3,2012,CyberConnect2,0.03,0.0,0.0,0.03,0.0,7th Gen,Home Console,Sony,.hack: Sekai no Mukou ni + Versus,.hack: Sekai no Mukou ni + Versus,.hack: sekai no mukou ni + versus
12,0-ji no Kane to Cinderella: Halloween Wedding,PlayStation Portable,2013,Unknown,0.01,0.0,0.0,0.01,0.0,6th Gen,Handheld,Sony,0-ji no Kane to Cinderella: Halloween Wedding,0-ji no Kane to Cinderella: Halloween Wedding,0-ji no kane to cinderella: halloween wedding
13,007 Legends,PlayStation 3,2012,Eurocom,0.34,0.11,0.17,0.0,0.06,7th Gen,Home Console,Sony,007 Legends,007 Legends,007 legends
14,007 Legends,Wii U,2012,Eurocom,0.13,0.06,0.06,0.0,0.01,8th Gen,Home Console,Nintendo,007 Legends,007 Legends,007 legends
15,007 Legends,Xbox 360,2012,Eurocom,0.28,0.13,0.13,0.0,0.02,7th Gen,Home Console,Microsoft,007 Legends,007 Legends,007 legends
16,007 Racing,PlayStation,2000,Eutechnyx,0.53,0.3,0.2,0.0,0.03,5th Gen,Home Console,Sony,007 Racing,007 Racing,007 racing
17,007: Quantum of Solace,Nintendo DS,2008,Vicarious Visions,0.13,0.11,0.01,0.0,0.01,7th Gen,Handheld,Nintendo,007: Quantum of Solace,007: Quantum of Solace,007: quantum of solace
18,007: Quantum of Solace,PlayStation 2,2008,Treyarch,0.43,0.17,0.0,0.0,0.26,6th Gen,Home Console,Sony,007: Quantum of Solace,007: Quantum of Solace,007: quantum of solace
19,007: Quantum of Solace,PlayStation 3,2008,Treyarch,1.15,0.43,0.51,0.02,0.19,7th Gen,Home Console,Sony,007: Quantum of Solace,007: Quantum of Solace,007: quantum of solace
20,007: Quantum of Solace,Wii,2008,Beenox,0.65,0.29,0.28,0.01,0.07,7th Gen,Home Console,Nintendo,007: Quantum of Solace,007: Quantum of Solace,007: quantum of solace
21,007: Quantum of Solace,Xbox 360,2008,Treyarch,1.48,0.82,0.51,0.01,0.14,7th Gen,Home Console,Microsoft,007: Quantum of Solace,007: Quantum of Solace,007: quantum of solace
22,007: The World is Not Enough,Nintendo 64,2000,Eurocom Entertainment Software,1.56,1.13,0.38,0.02,0.03,5th Gen,Home Console,Nintendo,007: The World is Not Enough,007: The World is Not Enough,007: the world is not enough
23,007: The World is not Enough,Nintendo 64,2000,,1.56,1.13,0.38,0.02,0.03,5th Gen,Home Console,Nintendo,007: The World is not Enough,007: The World is not Enough,007: the world is not enough
24,007: The World is not Enough,PlayStation,2000,Black Ops Entertainment,0.92,0.51,0.35,0.0,0.06,5th Gen,Home Console,Sony,007: The World is not Enough,007: The World is not Enough,007: the world is not enough
