Name_Unificado,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales
'98 Koshien,0.4,0.15,0.1,0.12,0.03
.hack//G.U. Last Recode,0.25,0.1,0.04,0.08,0.03
.hack//G.U. Vol.1//Rebirth,0.17,0.0,0.0,0.17,0.0
.hack//G.U. Vol.2//Reminisce,0.39,0.11,0.09,0.16,0.03
.hack//G.U. Vol.3//Redemption,0.17,0.0,0.0,0.17,0.0
.hack//Infection Part 1,1.26,0.49,0.38,0.26,0.13
.hack//Link,0.14,0.0,0.0,0.14,0.0
.hack//Mutation Part 2,0.67,0.23,0.18,0.2,0.06
.hack//Outbreak Part 3,0.46,0.14,0.11,0.17,0.04
.hack//Quarantine Part 4: The Final Chapter,0.18,0.09,0.07,0.0,0.02
.hack: Sekai no Mukou ni + Versus,0.03,0.0,0.0,0.03,0.0
0-ji no Kane to Cinderella: Halloween Wedding,0.01,0.0,0.0,0.01,0.0
007 Legends,0.75,0.3,0.36,0.0,0.09
007 Racing,0.53,0.3,0.2,0.0,0.03
007: Quantum of Solace,3.84,1.8199999999999998,1.31,0.04,0.67
007: The World is Not Enough,1.56,1.13,0.38,0.02,0.03
007: The World is not Enough,2.48,1.64,0.73,0.02,0.09
007: Tomorrow Never Dies,3.21,1.72,1.33,0.0,0.16
1 vs. 100,0.09,0.08,0.0,0.0,0.01
1/2 Summer +,0.01,0.0,0.0,0.01,0.0
10 Minute Solution,0.08,0.06,0.01,0.0,0.01
100 All-Time Favorites,0.51,0.35,0.12,0.0,0.04
100 Classic Books,1.33,0.25,1.04,0.0,0.04
100 Classic Games,0.03,0.0,0.03,0.0,0.0
100 Kiri Golf DS,0.0,0.0,0.0,0.0,0.0
100% Pascal Sensei: Kanpeki Paint Bombers,0.03,0.0,0.0,0.03,0.0
1000 Cooking Recipes from ELLE Ã  table,0.02,0.0,0.02,0.0,0.0
1000 Cooking Recipes from ELLE √† table,0.02,0.0,0.02,0.0,0.0
1001 Crosswords,0.0,0.0,0.0,0.0,0.0
1001 Touch Games,0.31,0.11,0.17,0.0,0.03
101-in-1 Explosive Megamix,0.2,0.05,0.13,0.0,0.02
101-in-1 Party Megamix Wii,0.22,0.19,0.01,0.0,0.02
101-in-1 Sports Megamix,0.09,0.08,0.0,0.0,0.01
101-in-1 Sports Party Megamix,0.02,0.02,0.0,0.0,0.0
1080Â°: TenEighty Snowboarding,2.04,1.25,0.61,0.13,0.05
11eyes: CrossOver,0.04,0.0,0.0,0.04,0.0
